domainId,domain
AL,Algorithms and Complexity
AR,Architecture and Organization
CN,Computational Science
DS,Discrete Structures
GV,Graphics and Visualization
HCI,Human-Computer Interaction
IAS,Information Assurance and Security
IM,Information Management
IS,Intelligent Systems
NC,Net Centric Computing
OS,Operating System
PBD,Platform-based Development
PD,Parallel and Distributed Computing
PL,Programming Languages
SDF,Software Development Fundamentals
SE,Software Engineering
SF,Systems Fundamentals
SP,Social Issues and Professional Practice
