topicId,topic,domainId,subdomain,subdomainId,domain,type
CSP-01-01,Make sense of the hard problem areas in cybersecurity that continue to make cybersecurity a challenge to implement.,CSP,Perspectives and impact,CSP-01,Cybersecurity Principles,Essential
CSP-01-02,Describe how a significant cybersecurity event has led to increasedorganizational focus on cybersecurity.,CSP,Perspectives and impact,CSP-01,Cybersecurity Principles,Essential
CSP-01-03,Tell a story of a significant cybersecurity advance.,CSP,Perspectives and impact,CSP-01,Cybersecurity Principles,Essential
CSP-01-04,"Evaluate when the Confidentiality, Integrity and Availability (CIA) of information has been or could be violated with regardsto providing trust of information.",CSP,Perspectives and impact,CSP-01,Cybersecurity Principles,Essential
CSP-01-05,Compare and evaluate different approaches/implementations of digital currencies.,CSP,Perspectives and impact,CSP-01,Cybersecurity Principles,Essential
CSP-02-01,Recognize when an organization focus is on compliance with standards vs. state of the practice vs. state of the art.,CSP,Policy goals and mechanisms,CSP-02,Cybersecurity Principles,Essential
CSP-02-02,Be aware ofmultiple definitions for the word “policy” within a cybersecurity context.,CSP,Policy goals and mechanisms,CSP-02,Cybersecurity Principles,Essential
CSP-02-03,Consider vulnerability notification and the issues associated with fixing or not fixing vulnerabilities and disclosing or notdisclosing vulnerabilities.,CSP,Policy goals and mechanisms,CSP-02,Cybersecurity Principles,Essential
CSP-02-04,Contrast the implicationsof relying on open design or the secrecy of design for security.,CSP,Policy goals and mechanisms,CSP-02,Cybersecurity Principles,Essential
CSP-02-05,Express why cybersecurity is a societal imperative.,CSP,Policy goals and mechanisms,CSP-02,Cybersecurity Principles,Essential
CSP-03-01,"Analyze the tradeoffs of balancing key security properties (Confidentiality, Integrity, and Availability).",CSP,"Security services, mechanisms,and countermeasures",CSP-03,Cybersecurity Principles,Essential
CSP-03-02,"Make sense of the concepts of risk, threats, vulnerabilities and attack vectors (including the fact that there is no such thing as perfect security).",CSP,"Security services, mechanisms,and countermeasures",CSP-03,Cybersecurity Principles,Essential
CSP-03-03,Document an example of “countermeasures” for specific threats.,CSP,"Security services, mechanisms,and countermeasures",CSP-03,Cybersecurity Principles,Essential
CSP-03-04,Produce a list capabilities and tools that identify cybersecurity risks on an ongoing basis.,CSP,"Security services, mechanisms,and countermeasures",CSP-03,Cybersecurity Principles,Essential
CSP-03-05,Show the concept of identity management and how it is important.,CSP,"Security services, mechanisms,and countermeasures",CSP-03,Cybersecurity Principles,Essential
CSP-03-06,"Make meaning of the concepts of authentication, authorization, and access control.",CSP,"Security services, mechanisms,and countermeasures",CSP-03,Cybersecurity Principles,Essential
CSP-03-07,Argueforthe benefit of multi-factor authentication.,CSP,"Security services, mechanisms,and countermeasures",CSP-03,Cybersecurity Principles,Essential
CSP-04-01,"Contrast the roles of prevention, deterrence, and detection mechanisms.",CSP,Cyberattacks and detection,CSP-04,Cybersecurity Principles,Essential
CSP-04-02,"Recognize password guessing, port scanning, SQL injection probes, and other cyberattacks in log files.",CSP,Cyberattacks and detection,CSP-04,Cybersecurity Principles,Essential
CSP-04-03,Make sense of the role and limitations of signature-based and behavioral-based anti-virus technology.,CSP,Cyberattacks and detection,CSP-04,Cybersecurity Principles,Essential
