topicId,CS Courses
AR-09-01,"COMP 1600,COMP 2601"
SF-144-02,"COMP 1600,COMP 2601"
SF-142-01,"COMP 1600,COMP 2601"
AR-09-02,"COMP 1600,COMP 2601"
AR-10-03,"COMP 1600,COMP 2601"
AR-11-05,"COMP 1600,COMP 2601"
AR-10-08,"COMP 1600,COMP 2601"
OS-85-02,"COMP 1600,COMP 2604,COMP 3606"
OS-91-02,"COMP 1600,COMP 2604"
IM-59-05,"COMP 1600,COMP 2605"
SP-159-02,COMP 1600
SDF-129-01,"COMP 1601,COMP 1602,COMP 1603,COMP 2603"
SDF-129-02,"COMP 1601,COMP 2603"
SDF-129-03,"COMP 1601,COMP 2603"
SDF-129-04,"COMP 1601,COMP 2603"
SDF-129-05,"COMP 1601,COMP 2603"
SDF-129-06,"COMP 1601,COMP 1602,COMP 2603"
SDF-130-01,"COMP 1601,COMP 1602,COMP 2603"
SDF-128-01,COMP 1601
SDF-128-02,COMP 1601
SDF-130-02,COMP 1602
SDF-130-03,"COMP 1602,COMP 2603"
IS-72-02,"COMP 1602,COMP 3608"
SDF-129-07,COMP 1603
SDF-130-04,"COMP 1603,COMP 2603"
SDF-130-06,COMP 1603
SDF-130-07,"COMP 1603,COMP 2603"
DS-22-01,COMP 1604
DS-22-02,COMP 1604
DS-22-03,COMP 1604
DS-23-01,COMP 1604
DS-23-02,COMP 1604
DS-23-03,COMP 1604
DS-23-04,COMP 1604
DS-23-05,COMP 1604
DS-23-06,COMP 1604
DS-23-07,COMP 1604
DS-23-08,COMP 1604
DS-24-01,COMP 1604
DS-24-02,COMP 1604
DS-24-03,COMP 1604
DS-24-04,COMP 1604
DS-24-05,COMP 1604
DS-24-06,COMP 1604
DS-24-07,COMP 1604
DS-24-08,COMP 1604
DS-24-09,COMP 1604
DS-25-01,COMP 1604
DS-25-02,COMP 1604
DS-25-03,COMP 1604
DS-25-04,COMP 1604
DS-25-05,COMP 1604
AR-09-03,COMP 2601
AR-09-04,COMP 2601
AR-09-05,COMP 2601
AR-09-06,COMP 2601
AR-10-01,COMP 2601
AR-10-02,COMP 2601
AR-10-04,COMP 2601
AR-10-05,COMP 2601
AR-10-06,COMP 2601
AR-10-07,COMP 2601
AR-10-09,COMP 2601
AR-10-10,COMP 2601
AR-10-11,COMP 2601
AR-11-01,COMP 2601
AR-11-02,COMP 2601
AR-11-03,COMP 2601
AR-11-04,COMP 2601
AR-11-06,COMP 2601
AR-11-07,COMP 2601
AR-11-08,COMP 2601
AR-11-09,COMP 2601
AR-12-01,COMP 2601
AR-12-02,COMP 2601
AR-12-03,COMP 2601
AR-12-04,COMP 2601
AR-12-05,COMP 2601
AR-12-06,COMP 2601
AR-12-07,COMP 2601
AR-13-01,COMP 2601
AR-13-02,COMP 2601
AR-13-03,COMP 2601
AR-13-04,COMP 2601
AR-14-02,COMP 2601
AR-14-05,COMP 2601
AR-15-01,COMP 2601
AR-15-02,COMP 2601
AR-15-03,COMP 2601
AR-15-05,COMP 2601
AR-15-06,COMP 2601
SF-145-01,COMP 2601
NC-85 -02,COMP 2602
NC-85-03,COMP 2602
NC-85 -04,COMP 2602
NC-85 -05,COMP 2602
NC-78-01,COMP 2602
NC-78-02,COMP 2602
NC-78-03,COMP 2602
NC-78-04,COMP 2602
NC-78-05,COMP 2602
NC-79-01,COMP 2602
NC-79-02,COMP 2602
NC-79-04,COMP 2602
NC-80-03,COMP 2602
NC-81-03,COMP 2602
NC-81-04,COMP 2602
NC-81-05,COMP 2602
NC-82-02,COMP 2602
NC-82-05,COMP 2602
NC-82-06,COMP 2602
NC-81-01,COMP 2602
NC-83-01,"COMP 2602,COMP 3606"
HCI-34-08,COMP 2603
HCI-36-01,"COMP 2603,COMP 3607"
HCI-36-03,COMP 2603
HCI-36-09,COMP 2603
PL-111-01,"COMP 2603,COMP 3609"
PL-111-02,COMP 2603
PL-111-03,"COMP 2603,COMP 3607"
PL-111-04,COMP 2603
PL-111-05,"COMP 2603,COMP 3607"
PL-111-06,COMP 2603
PL-111-07,"COMP 2603,COMP 3606"
PL-113-03,"COMP 2603,COMP 3606,COMP 3609"
PL-113-01,"COMP 2603,COMP 3606,COMP 3609"
PL-113-05,"COMP 2603,COMP 3606"
PL-114-03,"COMP 2603,COMP 3607"
PL-114-04,"COMP 2603,COMP 3607"
SDF-128-04,"COMP 2603,COMP 3607"
SE-136-01,"COMP 2603,COMP 2606,COMP 3607"
HCI-35-02,"COMP 2603,COMP 3603"
OS-85-01,COMP 2604
OS-86-02,COMP 2604
OS-86-03,"COMP 2604,COMP 3606"
OS-86-06,COMP 2604
OS-86-07,COMP 2604
OS-87-03,COMP 2604
OS-87-04,COMP 2604
OS-87-06,COMP 2604
OS-88-01,COMP 2604
OS-88-02,COMP 2604
OS-88-03,COMP 2604
OS-89-01,COMP 2604
OS-89-02,COMP 2604
OS-89-03,COMP 2604
OS-91-01,COMP 2604
OS-91-03,COMP 2604
OS-92-01,COMP 2604
OS-92-04,COMP 2604
OS-93-01,COMP 2604
OS-93-02,COMP 2604
OS-93-03,COMP 2604
OS-93-05,COMP 2604
OS-93-06,"COMP 2604,COMP 3606"
IM-55-02,COMP 2605
IM-55-05,COMP 2605
IM-56-01,COMP 2605
