topicId,topic,domainId,domain,subdomain,subdomainId,Tier,CS Courses
AL-01-01,"Differences among best, expected, and worst case behaviors of an algorithm ",AL,Algorithms and Complexity,Basic Analysis ,AL-01,Tier 1,COMP 3601
AL-01-02,Asymptotic analysis of upper and expected complexity bounds,AL,Algorithms and Complexity,Basic Analysis ,AL-01,Tier 1,COMP 3601
AL-01-03,Big O  notation: formal definition,AL,Algorithms and Complexity,Basic Analysis ,AL-01,Tier 1,COMP 3601
AL-01-04,"Complexity classes, such as constant, logarithmic, linear, quadratic, and exponential",AL,Algorithms and Complexity,Basic Analysis ,AL-01,Tier 1,COMP 3601
AL-01-05,Empirical measurements of performance,AL,Algorithms and Complexity,Basic Analysis ,AL-01,Tier 1,COMP 3601
AL-01-06,Time and space trade-offs in algorithms,AL,Algorithms and Complexity,Basic Analysis ,AL-01,Tier 1,COMP 3601
AL-01-07,Big O notation: use,AL,Algorithms and Complexity,Basic Analysis ,AL-01,Tier 2,COMP 3601
AL-01-08,"Little o, big omega and big theta notation",AL,Algorithms and Complexity,Basic Analysis ,AL-01,Tier 2,COMP 3601
AL-01-09,Recurrence relations,AL,Algorithms and Complexity,Basic Analysis ,AL-01,Tier 2,COMP 3601
AL-01-10,Analysis of iterative and recursive algorithms,AL,Algorithms and Complexity,Basic Analysis ,AL-01,Tier 2,"COMP 3601,COMP 1600"
AL-01-11,Some version of a Master Theorem,AL,Algorithms and Complexity,Basic Analysis ,AL-01,Tier 2,COMP 3601
AL-02-01,Brute-force algorithms,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,Tier 1,COMP 3601
AL-02-02,Greedy algorithms,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,Tier 1,COMP 3601
AL-02-03,Divide-and-conquer (cross-reference SDF/Algorithms and Design/Problem-solving strategies),AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,Tier 1,COMP 3601
AL-02-04,Recursive backtracking,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,Tier 1,COMP 3601
AL-02-05,Dynamic Programming,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,Tier 1,COMP 3601
AL-02-06,Branch-and-bound,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,Tier 2,COMP 3601
AL-02-07,Heuristics,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,Tier 2,COMP 3601
