course,title,topics
COMP 3601,Design and Analysis of Algorithms,"AL-01-01,AL-01-02,AL-01-03,AL-01-04,AL-01-05,AL-01-06,AL-01-07,AL-01-08,AL-01-09,AL-01-10,AL-01-11,AL-02-01,AL-02-02,AL-02-03,AL-02-04,AL-02-05,AL-02-06,AL-02-07,AL-02-08,AL-03-01,AL-03-02,AL-03-03,AL-03-04,AL-03-07,AL-03-08,AL-03-09,AL-03-10,AL-07-06"
COMP 1600,Introduction to Computing Concepts,"AL-01-10,AL-02-03,AL-03-01,AL-03-02,AR-01-01,AR-01-03,AR-02-01,AR-02-02,AR-02-03,AR-02-04,AR-02-05,AR-02-06,AR-03-01,AR-03-02,AR-03-03,AR-03-04,AR-03-05,AR-03-06,AR-03-07,AR-03-08,AR-03-10,AR-03-11,AR-04-01,AR-04-02,AR-04-03,AR-04-04,AR-04-05,AR-04-07,AR-05-01,AR-05-03,AR-05-04,AR-06-03,AR-07-02,CN-03-01,IM-06-05,OS-01-01,OS-01-02,OS-02-01,OS-02-05,OS-02-07,OS-03-01,OS-03-02,OS-03-03,OS-05-01,OS-05-02,OS-06-01,OS-06-02,OS-07-02,OS-08-01,OS-08-04,OS-09-01,PL-06-01,PL-06-05,SF-01-01,SF-03-02,SP-08-02"
COMP 2611,Data Structures,"AL-03-01,AL-03-02,AL-03-03,AL-03-04,AL-03-05,AL-03-06,AL-03-07,AL-03-08,AL-03-09,DS-05-01,DS-05-02,DS-05-03,DS-05-04,DS-05-05"
COMP 1602,Computer Programming II,"AL-03-01,AL-03-02,IS-07-02,SDF-02-01,SDF-02-06,SDF-03-01,SDF-03-02,SDF-03-03"
COMP 1603,Computer Programming III,"AL-03-01,SDF-02-01,SDF-02-07,SDF-03-01,SDF-03-02,SDF-03-03,SDF-03-04,SDF-03-05,SDF-03-06,SDF-03-07,SDF-04-01,SDF-04-02,SDF-04-03,SDF-04-04,SDF-04-05,SDF-04-06"
COMP 3602,Theory of Computing,"AL-04-01,AL-04-02,AL-04-03,AL-04-04,AL-04-05,AL-06-01,AL-06-02,AL-06-03,AL-06-04,AL-06-05,AL-06-06,AL-06-07,AL-06-09,AL-06-10"
COMP 2601,Computer Architecture,"AR-01-01,AR-01-02,AR-01-03,AR-01-06,AR-02-01,AR-02-02,AR-02-03,AR-02-04,AR-02-05,AR-02-06,AR-03-01,AR-03-02,AR-03-03,AR-03-04,AR-03-05,AR-03-06,AR-03-07,AR-03-08,AR-03-09,AR-03-10,AR-03-11,AR-04-01,AR-04-02,AR-04-03,AR-04-04,AR-04-05,AR-04-06,AR-04-07,AR-04-08,AR-04-09,AR-05-01,AR-05-02,AR-05-03,AR-05-04,AR-05-05,AR-05-06,AR-05-07,AR-06-01,AR-06-02,AR-06-03,AR-06-04,AR-07-01,AR-07-02,AR-07-04,AR-07-05,AR-08-01,AR-08-02,AR-08-03,AR-08-05,AR-08-06,OS-05-01,OS-05-03,PD-05-03,PD-05-04,PD-05-05,PD-05-06,SF-01-01,SF-03-02,SF-03-03,SF-03-05,SF-04-01,SF-04-03,SF-05-01,SF-05-02,SF-05-03,SF-05-04"
INFO 2603,Platform Technologies I,"AR-01-01,AR-03-01,IS-12-06,OS-01-01,OS-01-02,OS-01-03,OS-01-04,OS-02-02,OS-05-01,OS-07-01,OS-07-02,OS-07-03,OS-08-01,OS-09-01,OS-09-02,OS-09-03,OS-11-01,SF-06-01,SF-08-02,SF-08-03,SF-09-02,SF-09-03,SF-09-04,SF-09-05"
COMP 3607,Object Oriented Programming II,"CN-01-01,HCI-03-01,HCI-03-09,IM-03-02,IM-03-05,PL-01-01,PL-01-03,PL-01-05,PL-04-03,PL-04-04,PL-04-05,SDF-01-04,SDF-04-01,SDF-04-02,SDF-04-03,SDF-04-04,SDF-04-05,SDF-04-06,SE-03-04,SE-03-05,SE-04-01,SE-05-01,SE-05-02,SE-05-03,SE-05-04,SE-05-07,SE-05-14,SE-06-02,SE-07-08,SE-07-10"
COMP 3611,Modeling and Simulation,"CN-01-01,CN-01-02,CN-01-03,CN-01-04,CN-01-05,CN-02-01,CN-02-02,CN-02-03,CN-02-04,CN-02-05,CN-02-06,CN-02-07,CN-02-08,DS-06-01,DS-06-02,DS-06-03,DS-06-04,DS-06-05,DS-06-07,DS-06-08,IS-07-03"
