topicId,topic,domainId,subdomain,subdomainId,domain,tier,courses
AL-01-01,"Differences among best, expected, and worst case behaviors of an algorithm ",AL,Basic Analysis ,AL-01,Algorithms and Complexity,Tier 1,COMP 3601
AL-01-02,Asymptotic analysis of upper and expected complexity bounds,AL,Basic Analysis ,AL-01,Algorithms and Complexity,Tier 1,COMP 3601
AL-01-03,Big O  notation: formal definition,AL,Basic Analysis ,AL-01,Algorithms and Complexity,Tier 1,COMP 3601
AL-01-04,"Complexity classes, such as constant, logarithmic, linear, quadratic, and exponential",AL,Basic Analysis ,AL-01,Algorithms and Complexity,Tier 1,COMP 3601
AL-01-05,Empirical measurements of performance,AL,Basic Analysis ,AL-01,Algorithms and Complexity,Tier 1,COMP 3601
AL-01-06,Time and space trade-offs in algorithms,AL,Basic Analysis ,AL-01,Algorithms and Complexity,Tier 1,COMP 3601
AL-01-07,Big O notation: use,AL,Basic Analysis ,AL-01,Algorithms and Complexity,Tier 2,COMP 3601
AL-01-08,"Little o, big omega and big theta notation",AL,Basic Analysis ,AL-01,Algorithms and Complexity,Tier 2,COMP 3601
AL-01-09,Recurrence relations,AL,Basic Analysis ,AL-01,Algorithms and Complexity,Tier 2,COMP 3601
AL-01-10,Analysis of iterative and recursive algorithms,AL,Basic Analysis ,AL-01,Algorithms and Complexity,Tier 2,"COMP 3601,COMP 1600"
AL-01-11,Some version of a Master Theorem,AL,Basic Analysis ,AL-01,Algorithms and Complexity,Tier 2,COMP 3601
AL-02-01,Brute-force algorithms,AL,Algorithmic Strategies ,AL-02,Algorithms and Complexity,Tier 1,COMP 3601
AL-02-02,Greedy algorithms,AL,Algorithmic Strategies ,AL-02,Algorithms and Complexity,Tier 1,COMP 3601
AL-02-03,Divide-and-conquer (cross-reference SDF/Algorithms and Design/Problem-solving strategies),AL,Algorithmic Strategies ,AL-02,Algorithms and Complexity,Tier 1,COMP 3601
AL-02-04,Recursive backtracking,AL,Algorithmic Strategies ,AL-02,Algorithms and Complexity,Tier 1,COMP 3601
AL-02-05,Dynamic Programming,AL,Algorithmic Strategies ,AL-02,Algorithms and Complexity,Tier 1,COMP 3601
AL-02-06,Branch-and-bound,AL,Algorithmic Strategies ,AL-02,Algorithms and Complexity,Tier 2,COMP 3601
AL-02-07,Heuristics,AL,Algorithmic Strategies ,AL-02,Algorithms and Complexity,Tier 2,COMP 3601
AL-02-08,Reduction: transform-and-conquer,AL,Algorithmic Strategies ,AL-02,Algorithms and Complexity,Tier 2,COMP 3601
AL-03-01,"Simple numerical algorithms, such as computing the average of a list of numbers, finding the min, max, ",AL,Fundamental Data Structures and Algorithms ,AL-03,Algorithms and Complexity,Tier 1,"COMP 2611,COMP 1602,COMP 1603"
AL-03-02,Sequential and binary search algorithms,AL,Fundamental Data Structures and Algorithms ,AL-03,Algorithms and Complexity,Tier 1,"COMP 2611,COMP 1602"
AL-03-03,"Worst case quadratic sorting algorithms (selection, insertion)",AL,Fundamental Data Structures and Algorithms ,AL-03,Algorithms and Complexity,Tier 1,COMP 2611
AL-03-04,"Worst or average case O(N log N) sorting algorithms (quicksort, heapsort, mergesort)",AL,Fundamental Data Structures and Algorithms ,AL-03,Algorithms and Complexity,Tier 1,COMP 2611
AL-03-05,"Hash tables, including strategies for avoiding and resolving collisions",AL,Fundamental Data Structures and Algorithms ,AL-03,Algorithms and Complexity,Tier 1,COMP 2611
AL-03-06,Binary search trees,AL,Fundamental Data Structures and Algorithms ,AL-03,Algorithms and Complexity,Tier 1,COMP 2611
AL-03-07,Graphs and graph algorithms,AL,Fundamental Data Structures and Algorithms ,AL-03,Algorithms and Complexity,Tier 1,COMP 2611
AL-03-08,Heaps,AL,Fundamental Data Structures and Algorithms ,AL-03,Algorithms and Complexity,Tier 2,COMP 2611
AL-03-09,Graphs and graph algorithms,AL,Fundamental Data Structures and Algorithms ,AL-03,Algorithms and Complexity,Tier 2,COMP 2611
