Topic ID,SubDomain ID,Sub Domain,Domain,Domain ID,Courses,Topic,Courses
AL-01-01,AL-01,Basic Analysis ,Algorithms and Complexity,AL,COMP 3601,"Differences among best, expected, and worst case behaviors of an algorithm ",COMP 3601
AL-01-02,AL-01,Basic Analysis ,Algorithms and Complexity,AL,COMP 3601,Asymptotic analysis of upper and expected complexity bounds,COMP 3601
AL-01-03,AL-01,Basic Analysis ,Algorithms and Complexity,AL,COMP 3601,Big O  notation: formal definition,COMP 3601
AL-01-04,AL-01,Basic Analysis ,Algorithms and Complexity,AL,COMP 3601,"Complexity classes, such as constant, logarithmic, linear, quadratic, and exponential",COMP 3601
AL-01-05,AL-01,Basic Analysis ,Algorithms and Complexity,AL,COMP 3601,Empirical measurements of performance,COMP 3601
AL-01-06,AL-01,Basic Analysis ,Algorithms and Complexity,AL,COMP 3601,Time and space trade-offs in algorithms,COMP 3601
AL-01-07,AL-01,Basic Analysis ,Algorithms and Complexity,AL,COMP 3601,Big O notation: use,COMP 3601
AL-01-08,AL-01,Basic Analysis ,Algorithms and Complexity,AL,COMP 3601,"Little o, big omega and big theta notation",COMP 3601
AL-01-09,AL-01,Basic Analysis ,Algorithms and Complexity,AL,COMP 3601,Recurrence relations,COMP 3601
AL-01-10,AL-01,Basic Analysis ,Algorithms and Complexity,AL,COMP 3601,Analysis of iterative and recursive algorithms,COMP 3601
AL-01-11,AL-01,Basic Analysis ,Algorithms and Complexity,AL,COMP 3601,Some version of a Master Theorem,COMP 3601
AL-02-01,AL-02,Algorithmic Strategies ,Algorithms and Complexity,AL,COMP 3601,Brute-force algorithms,COMP 3601
AL-02-02,AL-02,Algorithmic Strategies ,Algorithms and Complexity,AL,COMP 3601,Greedy algorithms,COMP 3601
AL-02-03,AL-02,Algorithmic Strategies ,Algorithms and Complexity,AL,COMP 3601,Divide-and-conquer (cross-reference SDF/Algorithms and Design/Problem-solving strategies),COMP 3601
AL-02-04,AL-02,Algorithmic Strategies ,Algorithms and Complexity,AL,COMP 3601,Recursive backtracking,COMP 3601
AL-02-05,AL-02,Algorithmic Strategies ,Algorithms and Complexity,AL,COMP 3601,Dynamic Programming,COMP 3601
AL-02-06,AL-02,Algorithmic Strategies ,Algorithms and Complexity,AL,COMP 3601,Branch-and-bound,COMP 3601
AL-02-07,AL-02,Algorithmic Strategies ,Algorithms and Complexity,AL,,Heuristics,
AL-02-08,AL-02,Algorithmic Strategies ,Algorithms and Complexity,AL,COMP 3601,Reduction: transform-and-conquer,COMP 3601
AL-03-01,AL-03,Fundamental Data Structures and Algorithms ,Algorithms and Complexity,AL,COMP 3601,"Simple numerical algorithms, such as computing the average of a list of numbers, finding the min, max, ",COMP 3601
AL-03-02,AL-03,Fundamental Data Structures and Algorithms ,Algorithms and Complexity,AL,COMP 3601,Sequential and binary search algorithms,COMP 3601
AL-03-03,AL-03,Fundamental Data Structures and Algorithms ,Algorithms and Complexity,AL,COMP 3601,"Worst case quadratic sorting algorithms (selection, insertion)",COMP 3601
AL-03-04,AL-03,Fundamental Data Structures and Algorithms ,Algorithms and Complexity,AL,COMP 3601,"Worst or average case O(N log N) sorting algorithms (quicksort, heapsort, mergesort)",COMP 3601
AL-03-05,AL-03,Fundamental Data Structures and Algorithms ,Algorithms and Complexity,AL,,"Hash tables, including strategies for avoiding and resolving collisions",
AL-03-06,AL-03,Fundamental Data Structures and Algorithms ,Algorithms and Complexity,AL,,Binary search trees,
AL-03-07,AL-03,Fundamental Data Structures and Algorithms ,Algorithms and Complexity,AL,COMP 3601,Graphs and graph algorithms,COMP 3601
AL-03-08,AL-03,Fundamental Data Structures and Algorithms ,Algorithms and Complexity,AL,COMP 3601,Heaps,COMP 3601
AL-03-09,AL-03,Fundamental Data Structures and Algorithms ,Algorithms and Complexity,AL,,Graphs and graph algorithms,
AL-03-10,AL-03,Fundamental Data Structures and Algorithms ,Algorithms and Complexity,AL,COMP 3601,"Pattern matching and string/text algorithms (e.g., substring matching, regular expression matching, longest ",COMP 3601
AL-04-01,AL-04,Basic Automata Computability and Complexity,Algorithms and Complexity,AL,COMP 3602,Finite-state machines,COMP 3602
AL-04-02,AL-04,Basic Automata Computability and Complexity,Algorithms and Complexity,AL,COMP 3602,Regular expressions,COMP 3602
AL-04-03,AL-04,Basic Automata Computability and Complexity,Algorithms and Complexity,AL,COMP 3602,The halting problem,COMP 3602
AL-04-04,AL-04,Basic Automata Computability and Complexity,Algorithms and Complexity,AL,COMP 3602,Context-free grammars (cross-reference PL/Syntax Analysis),COMP 3602
AL-04-05,AL-04,Basic Automata Computability and Complexity,Algorithms and Complexity,AL,COMP 3602,Introduction to the P and NP classes and the P vs. NP problem,COMP 3602
AL-04-06,AL-04,Basic Automata Computability and Complexity,Algorithms and Complexity,AL,,"Introduction to the NP-complete class and exemplary NP-complete problems (e.g., SAT, Knapsack)",
AL-05-01,AL-05,Advanced Computational Complexity,Algorithms and Complexity,AL,,Review of the classes P and NP; introduce P-space and EXP,
AL-05-02,AL-05,Advanced Computational Complexity,Algorithms and Complexity,AL,,Polynomial hierarchy,
AL-05-03,AL-05,Advanced Computational Complexity,Algorithms and Complexity,AL,,NP-completeness (Cook’s theorem),
AL-05-04,AL-05,Advanced Computational Complexity,Algorithms and Complexity,AL,,Classic NP-complete problems,
AL-05-05,AL-05,Advanced Computational Complexity,Algorithms and Complexity,AL,,Reduction Techniques,
AL-06-01,AL-06,Advanced Automata Theory and Computability ,Algorithms and Complexity,AL,COMP 3602,Sets and languages,COMP 3602
AL-06-02,AL-06,Advanced Automata Theory and Computability ,Algorithms and Complexity,AL,COMP 3602,Context-free languages,COMP 3602
AL-06-03,AL-06,Advanced Automata Theory and Computability ,Algorithms and Complexity,AL,COMP 3602,"Turing machines, or an equivalent formal model of universal computation",COMP 3602
AL-06-04,AL-06,Advanced Automata Theory and Computability ,Algorithms and Complexity,AL,COMP 3602,Nondeterministic Turing machines,COMP 3602
AL-06-05,AL-06,Advanced Automata Theory and Computability ,Algorithms and Complexity,AL,COMP 3602,Chomsky hierarchy,COMP 3602
AL-06-06,AL-06,Advanced Automata Theory and Computability ,Algorithms and Complexity,AL,COMP 3602,The Church-Turing thesis,COMP 3602
AL-06-07,AL-06,Advanced Automata Theory and Computability ,Algorithms and Complexity,AL,COMP 3602,Computability,COMP 3602
AL-06-08,AL-06,Advanced Automata Theory and Computability ,Algorithms and Complexity,AL,,Rice’s Theorem,
AL-06-09,AL-06,Advanced Automata Theory and Computability ,Algorithms and Complexity,AL,COMP 3602,Examples of uncomputable functions,COMP 3602
AL-06-10,AL-06,Advanced Automata Theory and Computability ,Algorithms and Complexity,AL,COMP 3602,Implications of uncomputability,COMP 3602
AL-07-01,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,"Balanced trees (e.g., AVL trees, red-black trees, splay trees, treaps)",
AL-07-02,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,"Graphs (e.g., topological sort, finding strongly connected components, matching)",
AL-07-03,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,"Advanced data structures (e.g., B-trees, Fibonacci heaps)",
AL-07-04,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,"String-based data structures and algorithms (e.g., suffix arrays, suffix trees, tries)",
AL-07-05,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,"Network flows (e.g., max flow [Ford-Fulkerson algorithm], max flow – min cut, maximum bipartite ",
AL-07-06,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,COMP 3601,"Linear Programming (e.g.,duality, simplex method, interior point algorithms)",COMP 3601
AL-07-07,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,"Number-theoretic algorithms (e.g., modular arithmetic, primality testing, integer factorization)",
AL-07-08,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,"Geometric algorithms (e.g., points, line segments, polygons. [properties, intersections], finding convex hull, ",
AL-07-09,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,Randomized algorithms,
AL-07-10,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,Stochastic algorithms,
AL-07-11,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,Approximation algorithms,
AL-07-12,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,Amortized analysis,
AL-07-13,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,Probabilistic analysis,
AL-07-14,AL-07,Advanced Data Structures Algorithms and Analysis ,Algorithms and Complexity,AL,,Online algorithms and competitive analysis,
AR-01-01,AR-01,Digital Logic and Digital Systems ,Architecture and Organization,AR,COMP 1600,Overview and history of computer architecture,COMP 1600
AR-01-02,AR-01,Digital Logic and Digital Systems ,Architecture and Organization,AR,COMP 2601,Combinational vs. sequential logic/Field programmable gate arrays as a fundamental combinational + ,COMP 2601
AR-01-03,AR-01,Digital Logic and Digital Systems ,Architecture and Organization,AR,COMP 2601,Multiple representations/layers of interpretation (hardware is just another layer),COMP 2601
AR-01-04,AR-01,Digital Logic and Digital Systems ,Architecture and Organization,AR,,Computer-aided design tools that process hardware and architectural representations,
AR-01-05,AR-01,Digital Logic and Digital Systems ,Architecture and Organization,AR,,Register transfer notation/Hardware Description Language (Verilog/VHDL),
AR-01-06,AR-01,Digital Logic and Digital Systems ,Architecture and Organization,AR,,"Physical constraints (gate delays, fan-in, fan-out, energy/power)",
AR-02-01,AR-02,Machine Level Representation of Data ,Architecture and Organization,AR,"COMP 1600,COMP 2601","Bits, bytes, and words","COMP 1600,COMP 2601"
AR-02-02,AR-02,Machine Level Representation of Data ,Architecture and Organization,AR,"COMP 1600,COMP 2601",Numeric data representation and number bases,"COMP 1600,COMP 2601"
AR-02-03,AR-02,Machine Level Representation of Data ,Architecture and Organization,AR,"COMP 1600,COMP 2601",Fixed- and floating-point systems,"COMP 1600,COMP 2601"
AR-02-04,AR-02,Machine Level Representation of Data ,Architecture and Organization,AR,"COMP 1600,COMP 2601",Signed and twos-complement representations,"COMP 1600,COMP 2601"
AR-02-05,AR-02,Machine Level Representation of Data ,Architecture and Organization,AR,"COMP 1600,COMP 2601","Representation of non-numeric data (character codes, graphical data)","COMP 1600,COMP 2601"
AR-02-06,AR-02,Machine Level Representation of Data ,Architecture and Organization,AR,COMP 1600,Representation of records and arrays,COMP 1600
AR-03-01,AR-03,Assembly Level Machine Organization ,Architecture and Organization,AR,"COMP 1600,COMP 2601",Basic organization of the von Neumann machine,"COMP 1600,COMP 2601"
AR-03-02,AR-03,Assembly Level Machine Organization ,Architecture and Organization,AR,"COMP 1600,COMP 2601","Control unit; instruction fetch, decode, and execution","COMP 1600,COMP 2601"
AR-03-03,AR-03,Assembly Level Machine Organization ,Architecture and Organization,AR,"COMP 1600,COMP 2601","Instruction sets and types (data manipulation, control, I/O)","COMP 1600,COMP 2601"
AR-03-04,AR-03,Assembly Level Machine Organization ,Architecture and Organization,AR,"COMP 1600,COMP 2601",Assembly/machine language programming,"COMP 1600,COMP 2601"
AR-03-05,AR-03,Assembly Level Machine Organization ,Architecture and Organization,AR,COMP 2601,Instruction formats,COMP 2601
AR-03-06,AR-03,Assembly Level Machine Organization ,Architecture and Organization,AR,COMP 2601,Addressing modes,COMP 2601
AR-03-07,AR-03,Assembly Level Machine Organization ,Architecture and Organization,AR,COMP 2601,Subroutine call and return mechanisms (cross-referencePL/Language Translation and Execution),COMP 2601
AR-03-08,AR-03,Assembly Level Machine Organization ,Architecture and Organization,AR,COMP 2601,I/O and interrupts,COMP 2601
AR-03-09,AR-03,Assembly Level Machine Organization ,Architecture and Organization,AR,COMP 2601,Heap vs. Static vs. Stack vs. Code segments,COMP 2601
AR-03-10,AR-03,Assembly Level Machine Organization ,Architecture and Organization,AR,COMP 2601,Shared memory multiprocessors/multicore organization,COMP 2601
AR-03-11,AR-03,Assembly Level Machine Organization ,Architecture and Organization,AR,"COMP 1600,COMP 2601",Introduction to SIMD vs. MIMD and the Flynn Taxonomy,"COMP 1600,COMP 2601"
AR-04-01,AR-04,Memory System Organization and Architecture ,Architecture and Organization,AR,"COMP 1600,COMP 2601",Storage systems and their technology,"COMP 1600,COMP 2601"
AR-04-02,AR-04,Memory System Organization and Architecture ,Architecture and Organization,AR,"COMP 1600,COMP 2601",Memory hierarchy: importance of temporal and spatial locality,"COMP 1600,COMP 2601"
AR-04-03,AR-04,Memory System Organization and Architecture ,Architecture and Organization,AR,"COMP 1600,COMP 2601",Main memory organization and operations,"COMP 1600,COMP 2601"
AR-04-04,AR-04,Memory System Organization and Architecture ,Architecture and Organization,AR,COMP 2601,"Latency, cycle time, bandwidth, and interleaving",COMP 2601
AR-04-05,AR-04,Memory System Organization and Architecture ,Architecture and Organization,AR,COMP 2601,"Cache memories (address mapping, block size, replacement and store policy)",COMP 2601
AR-04-06,AR-04,Memory System Organization and Architecture ,Architecture and Organization,AR,COMP 2601,Multiprocessor cache consistency/Using the memory system for inter-core synchronization/atomic memory ,COMP 2601
AR-04-07,AR-04,Memory System Organization and Architecture ,Architecture and Organization,AR,COMP 2601,"Virtual memory (page table, TLB)",COMP 2601
AR-04-08,AR-04,Memory System Organization and Architecture ,Architecture and Organization,AR,COMP 2601,Fault handling and reliability,COMP 2601
AR-04-09,AR-04,Memory System Organization and Architecture ,Architecture and Organization,AR,COMP 2601,"Error coding, data compression, and data integrity (cross-referenceSF/Reliability through Redundancy)",COMP 2601
AR-05-01,AR-05,Interfacing and  C ommunication ,Architecture and Organization,AR,COMP 2601,"I/O fundamentals: handshaking, buffering, programmed I/O, interrupt-driven I/O",COMP 2601
AR-05-02,AR-05,Interfacing and  C ommunication ,Architecture and Organization,AR,COMP 2601,"Interrupt structures: vectoredand prioritized, interrupt acknowledgment",COMP 2601
AR-05-03,AR-05,Interfacing and  C ommunication ,Architecture and Organization,AR,COMP 2601,"External storage, physical organization, and drives",COMP 2601
AR-05-04,AR-05,Interfacing and  C ommunication ,Architecture and Organization,AR,COMP 2601,"Buses: bus protocols, arbitration, direct-memory access (DMA)",COMP 2601
AR-05-05,AR-05,Interfacing and  C ommunication ,Architecture and Organization,AR,,Introduction to networks: communications networks as another layer of remote access,
AR-05-06,AR-05,Interfacing and  C ommunication ,Architecture and Organization,AR,,Multimedia support,
AR-05-07,AR-05,Interfacing and  C ommunication ,Architecture and Organization,AR,COMP 2601,RAID architectures,COMP 2601
AR-06-01,AR-06,Functional Organization ,Architecture and Organization,AR,COMP 2601,"Implementation of simple datapaths, including instruction pipelining, hazard detection and resolution",COMP 2601
