breakdown,topic,domainId,domain,subdomain,subdomainId,topicId,tier,New Topic
"[2 Core-Tier1 hours, 2 Core-Tier2 hours] ","Differences among best, expected, and worst case behaviors of an algorithm ",AL,Algorithms and Complexity,Basic Analysis ,AL-01,AL-01-01,Tier 1,AL-01-01
"[2 Core-Tier1 hours, 2 Core-Tier2 hours] ",Asymptotic analysis of upper and expected complexity bounds,AL,Algorithms and Complexity,Basic Analysis ,AL-01,AL-01-02,Tier 1,AL-01-02
"[2 Core-Tier1 hours, 2 Core-Tier2 hours] ",Big O  notation: formal definition,AL,Algorithms and Complexity,Basic Analysis ,AL-01,AL-01-03,Tier 1,AL-01-03
"[2 Core-Tier1 hours, 2 Core-Tier2 hours] ","Complexity classes, such as constant, logarithmic, linear, quadratic, and exponential",AL,Algorithms and Complexity,Basic Analysis ,AL-01,AL-01-04,Tier 1,AL-01-04
"[2 Core-Tier1 hours, 2 Core-Tier2 hours] ",Empirical measurements of performance,AL,Algorithms and Complexity,Basic Analysis ,AL-01,AL-01-05,Tier 1,AL-01-05
"[2 Core-Tier1 hours, 2 Core-Tier2 hours] ",Time and space trade-offs in algorithms,AL,Algorithms and Complexity,Basic Analysis ,AL-01,AL-01-06,Tier 1,AL-01-06
"[2 Core-Tier1 hours, 2 Core-Tier2 hours] ",Big O notation: use,AL,Algorithms and Complexity,Basic Analysis ,AL-01,AL-01-07,Tier 2,AL-01-07
"[2 Core-Tier1 hours, 2 Core-Tier2 hours] ","Little o, big omega and big theta notation",AL,Algorithms and Complexity,Basic Analysis ,AL-01,AL-01-08,Tier 2,AL-01-08
"[2 Core-Tier1 hours, 2 Core-Tier2 hours] ",Recurrence relations,AL,Algorithms and Complexity,Basic Analysis ,AL-01,AL-01-09,Tier 2,AL-01-09
"[2 Core-Tier1 hours, 2 Core-Tier2 hours] ",Analysis of iterative and recursive algorithms,AL,Algorithms and Complexity,Basic Analysis ,AL-01,AL-01-10,Tier 2,AL-01-10
"[2 Core-Tier1 hours, 2 Core-Tier2 hours] ",Some version of a Master Theorem,AL,Algorithms and Complexity,Basic Analysis ,AL-01,AL-01-11,Tier 2,AL-01-11
"[5 Core-Tier1 hours, 1 Core-Tier2 hours] ",Brute-force algorithms,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,AL-02-01,Tier 1,AL-02-01
"[5 Core-Tier1 hours, 1 Core-Tier2 hours] ",Greedy algorithms,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,AL-02-02,Tier 1,AL-02-02
"[5 Core-Tier1 hours, 1 Core-Tier2 hours] ",Divide-and-conquer (cross-reference SDF/Algorithms and Design/Problem-solving strategies),AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,AL-02-03,Tier 1,AL-02-03
"[5 Core-Tier1 hours, 1 Core-Tier2 hours] ",Recursive backtracking,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,AL-02-04,Tier 1,AL-02-04
"[5 Core-Tier1 hours, 1 Core-Tier2 hours] ",Dynamic Programming,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,AL-02-05,Tier 1,AL-02-05
"[5 Core-Tier1 hours, 1 Core-Tier2 hours] ",Branch-and-bound,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,AL-02-06,Tier 2,AL-02-06
"[5 Core-Tier1 hours, 1 Core-Tier2 hours] ",Heuristics,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,AL-02-07,Tier 2,AL-02-07
"[5 Core-Tier1 hours, 1 Core-Tier2 hours] ",Reduction: transform-and-conquer,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,AL-02-08,Tier 2,AL-02-08
"[9 Core-Tier1 hours, 3 Core-Tier2 hours] ","Simple numerical algorithms, such as computing the average of a list of numbers, finding the min, max, ",AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,AL-03-01,Tier 1,AL-03-01
"[9 Core-Tier1 hours, 3 Core-Tier2 hours] ",Sequential and binary search algorithms,AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,AL-03-02,Tier 1,AL-03-02
"[9 Core-Tier1 hours, 3 Core-Tier2 hours] ","Worst case quadratic sorting algorithms (selection, insertion)",AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,AL-03-03,Tier 1,AL-03-03
"[9 Core-Tier1 hours, 3 Core-Tier2 hours] ","Worst or average case O(N log N) sorting algorithms (quicksort, heapsort, mergesort)",AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,AL-03-04,Tier 1,AL-03-04
"[9 Core-Tier1 hours, 3 Core-Tier2 hours] ","Hash tables, including strategies for avoiding and resolving collisions",AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,AL-03-05,Tier 1,AL-03-05
"[9 Core-Tier1 hours, 3 Core-Tier2 hours] ",Binary search trees,AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,AL-03-06,Tier 1,AL-03-06
